session_id,process_adaptation,rule_adaptation_method,tour,seed,correct_matches,correct_columns,file_extracted,mails_sent,all_correct
processadaptation_500_values_processadaptationmethod_add_tour_J09C_seed_409,500_values,add,J09C,409,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09C_seed_4506,500_values,add,J09C,4506,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09C_seed_4012,500_values,add,J09C,4012,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09D_seed_42,500_values,add,J09D,42,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09D_seed_1824,500_values,add,J09D,1824,False,False,False,False,False
processadaptation_500_values_processadaptationmethod_add_tour_J09D_seed_409,500_values,add,J09D,409,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09D_seed_4506,500_values,add,J09D,4506,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09D_seed_4012,500_values,add,J09D,4012,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09A_seed_42,900_values,add,J09A,42,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09A_seed_1824,900_values,add,J09A,1824,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09A_seed_409,900_values,add,J09A,409,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09A_seed_4506,900_values,add,J09A,4506,False,True,True,True,False
processadaptation_900_values_processadaptationmethod_add_tour_J09A_seed_4012,900_values,add,J09A,4012,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09B_seed_42,900_values,add,J09B,42,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09B_seed_1824,900_values,add,J09B,1824,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09B_seed_409,900_values,add,J09B,409,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09B_seed_4506,900_values,add,J09B,4506,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09B_seed_4012,900_values,add,J09B,4012,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09C_seed_42,900_values,add,J09C,42,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09C_seed_1824,900_values,add,J09C,1824,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09C_seed_409,900_values,add,J09C,409,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09C_seed_4506,900_values,add,J09C,4506,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09C_seed_4012,900_values,add,J09C,4012,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09D_seed_42,900_values,add,J09D,42,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09D_seed_1824,900_values,add,J09D,1824,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09D_seed_409,900_values,add,J09D,409,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09D_seed_4506,900_values,add,J09D,4506,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09D_seed_4012,900_values,add,J09D,4012,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09A_seed_42,city_values,add,J09A,42,False,True,True,True,False
processadaptation_city_values_processadaptationmethod_add_tour_J09A_seed_1824,city_values,add,J09A,1824,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09A_seed_409,city_values,add,J09A,409,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09A_seed_4506,city_values,add,J09A,4506,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09A_seed_4012,city_values,add,J09A,4012,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09B_seed_42,city_values,add,J09B,42,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09B_seed_1824,city_values,add,J09B,1824,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09B_seed_409,city_values,add,J09B,409,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09B_seed_4506,city_values,add,J09B,4506,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09B_seed_4012,city_values,add,J09B,4012,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09C_seed_42,city_values,add,J09C,42,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09C_seed_1824,city_values,add,J09C,1824,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09C_seed_409,city_values,add,J09C,409,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09C_seed_4506,city_values,add,J09C,4506,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09C_seed_4012,city_values,add,J09C,4012,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09D_seed_42,city_values,add,J09D,42,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09D_seed_1824,city_values,add,J09D,1824,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09D_seed_409,city_values,add,J09D,409,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09D_seed_4506,city_values,add,J09D,4506,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09D_seed_4012,city_values,add,J09D,4012,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09A_seed_42,extension_estimates,add,J09A,42,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09A_seed_1824,extension_estimates,add,J09A,1824,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09A_seed_409,extension_estimates,add,J09A,409,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09A_seed_4506,extension_estimates,add,J09A,4506,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09A_seed_4012,extension_estimates,add,J09A,4012,False,False,False,False,False
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09B_seed_42,extension_estimates,add,J09B,42,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09B_seed_1824,extension_estimates,add,J09B,1824,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09B_seed_409,extension_estimates,add,J09B,409,True,True,True,False,False
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09B_seed_4506,extension_estimates,add,J09B,4506,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09B_seed_4012,extension_estimates,add,J09B,4012,True,True,True,False,False
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09C_seed_42,extension_estimates,add,J09C,42,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09C_seed_1824,extension_estimates,add,J09C,1824,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09C_seed_409,extension_estimates,add,J09C,409,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09C_seed_4506,extension_estimates,add,J09C,4506,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09C_seed_4012,extension_estimates,add,J09C,4012,True,False,True,True,False
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09D_seed_42,extension_estimates,add,J09D,42,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09D_seed_1824,extension_estimates,add,J09D,1824,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09D_seed_409,extension_estimates,add,J09D,409,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09D_seed_4506,extension_estimates,add,J09D,4506,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09D_seed_4012,extension_estimates,add,J09D,4012,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09A_seed_42,extension_mail,add,J09A,42,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09A_seed_1824,extension_mail,add,J09A,1824,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09A_seed_409,extension_mail,add,J09A,409,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09A_seed_4506,extension_mail,add,J09A,4506,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09A_seed_4012,extension_mail,add,J09A,4012,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09B_seed_42,extension_mail,add,J09B,42,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09B_seed_1824,extension_mail,add,J09B,1824,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09B_seed_409,extension_mail,add,J09B,409,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09B_seed_4506,extension_mail,add,J09B,4506,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09B_seed_4012,extension_mail,add,J09B,4012,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09C_seed_42,extension_mail,add,J09C,42,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09C_seed_1824,extension_mail,add,J09C,1824,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09C_seed_409,extension_mail,add,J09C,409,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09C_seed_4506,extension_mail,add,J09C,4506,False,False,True,False,False
processadaptation_extension_mail_processadaptationmethod_add_tour_J09C_seed_4012,extension_mail,add,J09C,4012,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09D_seed_42,extension_mail,add,J09D,42,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09D_seed_1824,extension_mail,add,J09D,1824,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09D_seed_409,extension_mail,add,J09D,409,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09D_seed_4506,extension_mail,add,J09D,4506,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09D_seed_4012,extension_mail,add,J09D,4012,True,True,True,True,True
