Meter Reading (MR) Doc. No.,Installation,Meter Reading reason,MR Reason - Text,Scheduled MR Date,Meter Reading unit,Meter Reading (MR) Doc. No.
"QxKP+H/OEAkCzvepqJEKXX+ERJuCWtKbioGUyPB","V+VZILaVVtCLJYgBjZhja/+RZOy/U+dAXRGJtGP","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619150"
"okvtaQdLpV/IYSRBFDhggmWk+ilBzwcVAHGcEHO","JvodQUExqpWkhKjJrNRnCcxBcUaJaQXPVyQHyBE","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619193"
"XmVpZ/wULylBSJCAJmLXxjTfatEkUVUGhlWVtyJ","W/phZfveWPUXtYPZSpqpTnimvUaXxZOxUMivWTU","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619223"
"ISVqXULRStGywSaAPihQsdMGsmXRWWTOmUCwmvP","cTnEOQNIWpYRATWQWvLQN+CcZJKAIVjVAbRmgpS","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619228"
"RINTZNREeBPaiTUpTBMfHAgXsiGmXkVSrnKUIsQ","DvNsgAPVMKTuh/EJZBYpXPSTIgjZlZbXDSWJUoF","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619260"
"Su//VRAwRBAhhQeMlLJkVjHTKmDWVgssTGXEfcJ","UfkYfYlRdZnUEZwiVZLnIPnrbBYwIuSLRTVVPVU","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619289"
"JSTpxnGpfGeeqLzizfeSNoqQSNRSlgjWBenRJih","qatYbOLdXu+GTKqWRorLoNzWhsyFKObsNmaNzju","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619424"
"tUNxkgQIvEIXCXUQwUzISNdT/vrSCUgSVtqzrAQ","bvIkXWCcboWoseSjTZgVenxTJkNzrlIEcEXHwIG","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619514"
"YIPdRcDYYyCmDz/qLmtinUAWiQgQavsC+slStCo","xdwTNljx+o/FFWtZOFqQtEVjXpaR+WrdTWYFttW","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619539"
"eIMlZLdCmcn/qkFXksAvdQqlktlWZrxWdgTUnUH","QWhXMyRXqgXDXJstCw/SkpMjdpoSYTZHToxpXRl","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619662"
"vYYECwzrGRoXerHUYRRw/GR+ihgQRprMog+VbTV","QvQyQEUXjOVWScszQntqTltqU++VYZHtIjjEBZU","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619692"
"S+tQYSqtTlCogEkJaXjSDaLy/WvXBYsuWXRlomz","imKRCrRSqiRRRXFpMbKlwUnlZTRUnZJWzxQaJxB","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619698"
"LPqtjdeSVYSCfoZYSKkleRQWKQo/rvFGqXISIfp","McgYLTHbbGlsrjGwenTEdjHXRzTBHzjvseDYV+U","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619713"
"sqWVRXgLPVssKbCpYu+VPdWhFRGAVdQcat/SkvF","BeBPNrCwTZd+axaOrryFDoCnKSYoJVBFvnLYdWj","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619835"
"oSiVondYTzqMCJLoVlBJuIqHnBaWodMRMWED/Mf","vnmGWLlUEHqdtrYUtjKOhRTrsLhLaoRSzJEWHcz","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619839"
"XrkgcfOXKmSRzVjwhoY/ToYxUeAuU+UPStFlWVb","bVXszMuKnltsXTRZWComNXrcxLozUdxYDYAHYAx","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619857"
"JLLSzuLXjTUDoKfRUveeBLFZPrhxPxYfUKZTDmB","zjd+Blt+zZcSjCVTVrZfQYTYoqCVVQHDXMfDjOs","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619939"
"ULi/ZWtrphIUXbovtWWfYOuXYQWHXYwsSMu/HPO","PJgrAVLYXFXlXqWXtSwOReSuGVUyZQcmsVUcPcm","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619961"
"VqdrjUGWdhOTqEmLHUWnXZbUZfwGZaSZjwUspIg","ObX/RZxuZYrmQXSAGtfPKokQFZ/SZaYooQSSTgc","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011620026"
"iscvBQqayfvqSoXyT/ucK/OwBQXdmUCRwbc/nzK","cPjZLLEUrYudAOygkZOzEVU+FOnzDGZVDHWRFOC","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011620027"
"mGsRAMRPddNlgOHynoVlJefNUAdN+LsXuZ+/vsW","SZKRqPhp/SrZbtARLFkCTSKabZtlXNZiryoKKIT","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011620067"
"pYAfYChsxCRAaYvLHW+kZnlgGwwVL+TrLMjbwOD","urJKXZRkYtpLDsiQBptIYMlwH++/HuEwXFV+UWS","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011620084"
"uVlDMEKFFNuNOc+OhXezcopshxqXSqOMdIGrxWh","EQtQnhFRTKyOBHPRBmQUyTRWsiKTYKcqhtLHXwZ","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011620108"
"JWzVYNHnsSZTdUgTLDxjhKooMDKgcD/KAWERXUM","fJI/UFGxwStMFKxASSWUHKtL/vcTqhNZAljaTrp","01","Turnusablesung",2020-09-08T00:00:00,"J09B1521","00000000000002331685"
"'+UZrgRneMoWJSnewGePEKxGQUtYnXwwGjnUpQZU","M/ZhGf/tQYhNyUQjaMGXoQXkykYYFrBT+BSxFbL","01","Turnusablesung",2020-09-08T00:00:00,"J09B6206","00000000000002350118"
"QUQBVQfuXVhwTZZSuKLqRWGXsSUmxVR/GvYlGBn","hlorzSkHQlEPSSYlqZisxZrXdayWLTRVHpZEwLV","01","Turnusablesung",2020-09-08T00:00:00,"J09B6206","00000000000002350153"
"JaERhQrV/KOHYkLAQMvKzUzAhARcXefpxiG/qlI","UHcRJNAoxKBQHSlRPugiDYhWuiBVaeXVxAmPYQZ","01","Turnusablesung",2020-09-08T00:00:00,"J09B4011","00000000000002343540"
"SqSbKIYAneSRpuLkLyLQkSqWwWMMEvNzXRzmXdg","UrMWUPazsMSDLT+hBmhoNsZuZWJVQQbSXKqFeBi","01","Turnusablesung",2020-09-08T00:00:00,"J09B4011","00000000000002343682"
"FxxfdQmYhilfqCZPEQxBFnitNmunpDsBoVvGjlW","KxtDlwngXhXKYpU/GlJfY/PjZJWSNsVRcNrUwxZ","01","Turnusablesung",2020-09-08T00:00:00,"J09B4011","00000000000002343706"
"RTwUQECqIRccUCqUMwZS+HHWZXQX+ovfQJzYLZV","exIymXZjcFam+KkFYgQMQASPWxUVZyrDGFSkEtU","01","Turnusablesung",2020-09-08T00:00:00,"J09B4011","00000000000002343754"
"VP+lUcTfyfTWfhQVoDZGUUMcFlYPLpVpgZCVXpO","JbUCQZ+TZawpdEpcnuPjhjqW+GCbiHjnZpSGUvU","01","Turnusablesung",2020-09-08T00:00:00,"J09B1701","00000000000002338675"
"iVTxoQevbpRuVDCdBhlV+QZSbEkdALUDcTlQm/W","JbUCQZ+TZawpdEpcnuPjhjqW+GCbiHjnZpSGUvU","01","Turnusablesung",2020-09-08T00:00:00,"J09B1701","00000000000002338676"
"yUSiZUkDYlrgzEyUmEMCvT/qSMcGjeVhqpVTfVa","uUeRUXWyBLNPqUeWpUpYWywRiSsqPWmrzxRwqTO","01","Turnusablesung",2020-09-08T00:00:00,"J09B1701","00000000000002338901"
"LDZIquGDURYCD/lvFILm/TyvSiZTYWXtUgPsnzQ","gSHfVHWcTOEoGTUEAoTQLYnIosRQ+VQfwZRYhBq","01","Turnusablesung",2021-09-08T00:00:00,"J09B4011","00000000000003988510"
"ktZpeoKwpYCZQfVUzFDkISvJTXWLECIqpvDvUDJ","YABYKSLeLVlTwpiTJFeGvFBFxWgbKTXIEgSmAQO","01","Turnusablesung",2021-09-08T00:00:00,"J09B4011","00000000000003988631"
"uBUTpy/tpCPDhKiNVMXxzVHRjHPQ+WFQKBLUYaP","UxJRcTNevUTWtsJPRcVUpRwWZTXRfCDKnzjVAVI","01","Turnusablesung",2021-09-08T00:00:00,"J09B4011","00000000000003988680"
"TcrMeGNqQVMTJOI/gRlXMyBMxSQo/kCrvYfZoVY","PexARMMgRTERBzeGZFlMtzl/ZoYXlaJHzRoLumc","01","Turnusablesung",2021-09-08T00:00:00,"J09B4011","00000000000003988692"
"reQVD+QCrWAlHyaEBUQpETlbTIhXYsQVVZoOeen","ATEXsbw/HQZNThTfODXyQZQFXpiDuM+EelFhKjZ","01","Turnusablesung",2021-09-08T00:00:00,"J09B4011","00000000000003988714"
"mndRMaOUMKcCHRtKTXkNUTymURJRksmzGLVFbiC","fZnSBxOIpsTJZQtlIqR+CVqFYUNmvc+FdkcRhKy","01","Turnusablesung",2021-09-08T00:00:00,"J09B4011","00000000000003988772"
"XZnubunvSGhR+hLdIxDgIx+TWjYGSrcEKQhdUWA","ZTqYzTgwGMacS++ZWQYN/FJkNDyViCKGwyjiXBb","01","Turnusablesung",2021-09-08T00:00:00,"J09B6202","00000000000003992345"
"N/xZxksLuBTNRSXAMohHpaWuqTUaLCmHvVRYUAR","QZOsoCyCBbZeGMGBwRVYzfwgJDTDgYdbOhpmRvS","01","Turnusablesung",2020-09-08T00:00:00,"J09B6253","00000000000002351320"
"'+kktURRSTnCj+QXWOPFehhVlsLTsRKQiXEhvWkT","QZOsoCyCBbZeGMGBwRVYzfwgJDTDgYdbOhpmRvS","01","Turnusablesung",2020-09-08T00:00:00,"J09B6253","00000000000002351321"
"ZlPsuJGSyJlROnWQcT+QWlarTlzwbVwcDSWUURw","svGWPVWFftHRPmOxbhRn+xYabuLYYBAxtWCeEre","01","Turnusablesung",2020-09-08T00:00:00,"J09B6253","00000000000002351335"
"UXHFfGTQSlIfcXftWGgxppRW/XVCZUaRYYRKQVv","svGWPVWFftHRPmOxbhRn+xYabuLYYBAxtWCeEre","01","Turnusablesung",2020-09-08T00:00:00,"J09B6253","00000000000002351336"
"UEanLXZizerJYT/kTEHuUrlLOWauYQiCiQmCOOR","qWENWEeVPJUTShkEuSVWRapNiViKpqMxBpatSNR","01","Turnusablesung",2020-09-08T00:00:00,"J09B6253","00000000000002351395"
"QqVTRWSpVRdEjUGRPYETXKooForsZekHDUTOuJB","KLiwBhxHRZSpbXCVKWDkFYkzuoOsj/tANUSMXcz","01","Turnusablesung",2021-09-08T00:00:00,"J09B1611","00000000000003976809"
"NQdURbdfEjktuuVCGrY/CJsutSydP/XPkqnQZVR","WGPdHXYVTstL+CuianMwUokvZVCQAcUE+mZVKBw","01","Turnusablesung",2021-09-08T00:00:00,"J09B1611","00000000000003976876"
"konWMSYmYKGrxSvZZngdTIbrBXaAOALarNUiYRC","VD+jZUZsHRtTRycxcjmglPtsYwmAVZnkWSMmQDr","01","Turnusablesung",2021-09-08T00:00:00,"J09B1611","00000000000003976888"
"wARuVuSWkkO/TyxGbjRrZtIzvzpyZ+llhVKfUZB","BDbWIMuzFjpWVujgoWm+YCrDqzXkSZp/mZkUilw","01","Turnusablesung",2021-09-08T00:00:00,"J09B6253","00000000000003995048"
"MDYvrCxQvtHoLZVUTHoXuQkbYouKWjBTnAoRfSs","BDbWIMuzFjpWVujgoWm+YCrDqzXkSZp/mZkUilw","01","Turnusablesung",2021-09-08T00:00:00,"J09B6253","00000000000003995049"
"BZLvlVxPqRWcWOOpKqSS+irMXDJdOQNaqffzVzY","qWENWEeVPJUTShkEuSVWRapNiViKpqMxBpatSNR","01","Turnusablesung",2021-09-08T00:00:00,"J09B6253","00000000000003995056"
"EOpBXU+PgUsqAWWAV/mAZCRAHcrQZSQTwQeeoFu","wFpMaOzrOjcibaXHDRYWBniSIsSZASWgqmccYyQ","01","Turnusablesung",2021-09-08T00:00:00,"J09B6253","00000000000003995100"
"QDEYUdgdaqJWSXEcgDidezBBBtJdsMIiTwiHWsQ","xlkCMKRxMpmzRfppbISrLuZkW+BPbDrNZXvxWut","01","Turnusablesung",2021-09-08T00:00:00,"J09B6253","00000000000003995104"
"ucZrGyVVhEqmlOBXifiX/PWXyUlgX/YKHWfAbvY","xlkCMKRxMpmzRfppbISrLuZkW+BPbDrNZXvxWut","01","Turnusablesung",2021-09-08T00:00:00,"J09B6253","00000000000003995105"
"wLzUZpQdRSKHAPqVSyQudShUnL+FXzjnKQhpRXG","svGWPVWFftHRPmOxbhRn+xYabuLYYBAxtWCeEre","01","Turnusablesung",2021-09-08T00:00:00,"J09B6253","00000000000003995106"
"JIpGQxQplL/PNpovdroQ/qyIqIFbSCIeXYOQTOX","svGWPVWFftHRPmOxbhRn+xYabuLYYBAxtWCeEre","01","Turnusablesung",2021-09-08T00:00:00,"J09B6253","00000000000003995107"
"XdBXSQSONTVOYZpLjWoHsQdUUXsQtLbeSBPMaoM","oRRTxIVrsyTlWUTxQtCZcTLTEHoRpVSYdKWbiBR","01","Turnusablesung",2021-09-08T00:00:00,"J09B6503","00000000000003996139"
"lFWPBZIanVvNJQPlnxlxLRaMzVyLyROWwSTJMB+","XVbqxSVTahgqhWXfyGSWlNzWHFdohRXNzVCzWZQ","01","Turnusablesung",2021-09-08T00:00:00,"J09B6503","00000000000003996149"
"rtKflMRAWgkXWLg+SRrBrpGrQkr+BmHbPAXcXoX","sKnNtvzKnATPUfZQCdlrUzGPIBimLHWgY/SsYWS","01","Turnusablesung",2021-09-08T00:00:00,"J09B6503","00000000000003996153"
"nkyQEAMmEScIwyHMIeX/ZGitJCiUo+VrIx/rTM/","EcWiIQxXpPoYRPcovZrkDIKrBsR+ShfSfFesRjv","01","Turnusablesung",2021-09-08T00:00:00,"J09B6503","00000000000003996154"
"CMGOrOHtSZGhQluCdoYvnXXZOZHCazQEZUF/ZSD","EcWiIQxXpPoYRPcovZrkDIKrBsR+ShfSfFesRjv","01","Turnusablesung",2021-09-08T00:00:00,"J09B6503","00000000000003996155"
"mTwCYbJKXRnbqQN+YoKeEaruYLebSjqjMMWXmrv","oHATMJGMVTROVTZXwZoReXE/auDZmakMbUXV/gi","01","Turnusablesung",2021-09-08T00:00:00,"J09B6503","00000000000003996159"
"vWq+nfMqQLXmuRvVIJvagmMAVUxBwpTTqARrstQ","cZaMWx/POayQOufnuxMXRUnOovrjAKbVVqRfpUT","01","Turnusablesung",2021-09-08T00:00:00,"J09B6503","00000000000003996167"
"/GYmqIZZVNQc+Tm+WQoMtXoc+uSHUbvXuFQEp/h","xbrYjJvTcEwcfSCQvvOZujOeTKZvhe+rAKDONZZ","01","Turnusablesung",2021-09-08T00:00:00,"J09B6503","00000000000003996168"
"LLkOyoLbPpIxDiQrUnKUZqDrVheZEZ/AdCyViLe","blOAvMASmizBVSzh/DYJYWSQTwbPpKjIoZNYQXy","01","Turnusablesung",2021-09-08T00:00:00,"J09B6503","00000000000003996180"
"OkQIUeqM+PDdSRrwTQhRlAgUnHeKXVXROgUzAaY","FanlSZVAdHBSzoBOaagMtaioNWVJYisMSW+yQQi","01","Turnusablesung",2021-09-08T00:00:00,"J09B6503","00000000000003996186"
"'+BYDPoSTTiYWN+XLxXNOsyLMJTeQqUJOYIHeDEU","dRQQCNVZSRZvwWSXXMCDzYZ+hTS+YSYABWDQyXQ","01","Turnusablesung",2021-09-08T00:00:00,"J09B6503","00000000000003996190"
"'+vkKYrKtJQVTjlagKGwuflYcIZnfJRCsBR/qEU+","eVnLziVlTlARpoSplXWXuTs+UDXHnpYAkZQWRrU","01","Turnusablesung",2021-09-08T00:00:00,"J09B6503","00000000000003996202"
"lTNqRtxXNNLTQBRsfYbXTGQrbXkPOQRMNMDRujE","eVnLziVlTlARpoSplXWXuTs+UDXHnpYAkZQWRrU","01","Turnusablesung",2021-09-08T00:00:00,"J09B6503","00000000000003996203"
"SA/YHUDFSZA+S/EvdYZ/UFaAa/LlVR/UWTeZbvV","XtiIiywUXkzZWytzjWVgPaKhjVthKUEqAKnqGFT","01","Turnusablesung",2021-09-08T00:00:00,"J09B6503","00000000000003996204"
"KFsJRcRJtcfWDPdSChTX+OPv+/RBDawfbFUNSZk","UewHnUPHnTXPRVLdSOubAcGtFDDGMdiTwMWkQUG","01","Turnusablesung",2021-09-08T00:00:00,"J09B6503","00000000000003996212"
"UFRj/xOnK/zYXCnURMKjgXnLhBkNWSdzNVtndGZ","STNkJlQFRtqYnhuREkxVZTRKLiOPiGvAYwHVvRa","01","Turnusablesung",2021-09-08T00:00:00,"J09B6503","00000000000003996231"
"HQS/DSHYBIpBpUCZxFJSrVYYXlPePEXgIowrccQ","Rircdtc+iqseUksqZYYST/B/tUcSNfBXJwUFaTT","01","Turnusablesung",2022-08-31T00:00:00,"J09B6504","00000000000005738844"
"zxWtkrYtUnmvxRQAvjZFLtWmUsbkcsoREGUMfGB","Rircdtc+iqseUksqZYYST/B/tUcSNfBXJwUFaTT","01","Turnusablesung",2022-08-31T00:00:00,"J09B6504","00000000000005738845"
"iaTXfS/pmi/g/tYe+rUQNXTfgLLYrSapqNcFvvF","Rircdtc+iqseUksqZYYST/B/tUcSNfBXJwUFaTT","01","Turnusablesung",2022-08-31T00:00:00,"J09B6504","00000000000005738846"
