Installation,Installation type,Record created on,Object changed on,SPARTE_TEXT,AKLASSE,AKLASSE_TEXT,TARIFTYP,TARIFTYP_TEXT,BRANCHE,BRANCHE_TEXT,ABLEINH,ME_MA_ID,HAUS
"ZNjHJNuZSLioSwp+aT+TleGnfawkaUcmvkys/qC","WAEP",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6251","ZQREqSRnHGWW+JqWAUiTvguTYcoatkWwwcNMTMz","TQPISXkLGmgYVQMqxeYQWSJWwQIQNZpTR/TEqLQ"
"ZwfIfB+gYVcIsfXOzmRThPzBTQYaSZzQXloR/rd",,2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA","Private Haushalte","J09B4011","TafVPVrOLrCBHasQGF+TgNWjgonPXFVXkN+KCjF","cYQTBVleNzWMgUlYFYcCKaUYQQxT/wBZRhLVviI"
"VMsuGROInSdccUTWPUhGiRbGklOvp+dQjuzpATr",,2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA","Private Haushalte","J09B4011","YaiiVQaUCSNpXQrhfQTUhCaU/yOVlnsZZXVTdeA","fJszIIbFxZRUqyXQEZsDJRvIGkb+SpDkKVfIviY"
"RLfvjjWmERGdX/wVSgAMVFcHs+KUQiBSpzoCPxy","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B5433","StbLuOKVRQHEDPOvYXRDfyB+SIjJVvZCPueCulG","DKJDxRYQwYqxJWZkVYGZKYizQCwSiTLkTpTQNfU"
"YGWBJYEnwPrBVQGSMqawKCWXdDvTeUXVsaCYXuA","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B5434","XbLWRFfTQxXiBfyWWzVRkQDoSSlOpItV+IJviYW","EUdnVQHVMHJgNFVQudd+lNtJYKDJOagYbCEZLVZ"
"PPwQUAWSgVLWMBoXWYoIURDWzQ/gvBWBtXY+RzF","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6203","QQekmRPBxHsjEYrdQXiVaxarmfVexaxickJKZiy","m+hre+wLYuygTkrPULqZBGlveGYqRcUQaQzDZMV"
"DA/TWdJyWXx/U+LakCZnchXAjZ+UemtVuhSTcJY","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6503","gRsIWaxYwkvWaYSTffTPSyIYVvHtATsxaPIQeds","TUzwCVYjYWpsQlVpKURbYBJwsMeWlXZLdTyGLWE"
"IMEdTIzoWHetXRmixTOrPqttUdGDcupAuwEQXwT","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6504","cNKLhlsQq/wnHvZ+mUZQTQpcpvFUDpOOYqzWQYY","WTeYSRIDSRzTYyvUeBeDQaYQfX+KExoNwgqEWfD"
"qTrQzYXzqvWAwFTDOmIWUJasCQnYgRyynTdtXJX","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B5433","JWQVazqIjNXWEpAJFQVSUVmbLUfIfSERAR/xbGf","CSIFIhVUpVGecAwwzQJZxLhhqlFzcMTCRbaSMYj"
"dFQTKVfWXFahQARHSEpZYXSnFOuzMwKdPOZYdTY","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09B1612","TUtctdSeRNnIgW+ZlrZmNWqBVV+FvCYOYYitAwV","dyaznEvuUXfVlRoAOtJxHfyYOTlVXy/DuNRStWv"
"'+TLYp+KeeRMGMVkSVbBprBNkwBVeTqYbUQPTPkq","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6503","HWypxes+IpiU/WSUMQVUgwCWY/RXciqNQTfeZpW","yVd/+hkdGGaVhbaNItq/wLICnZdvQEWAJViTksa"
"vwjM+XV/tzpWyTCGYguTcqGhIRsAjNZtKRIOJdk","WAEP",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1612","JiDQgqScghYFVrXMkGSGrrVdlqmCcoNupshypPq","OUDhobsOiSSEyZcfPovQvQgm/IWSQmJuoLmTwQk"
"uIsTaiYGGsmncTlNMnaNVIjclu+ciQBKUDRgVFZ","WAEP",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1612","vDmpEhmneyJSEzXeGkpfeFUWoIMCQHBSrCXXZSu","zBveNKVRN/VQFiJBXbKQxREntHIhbKJBckroGYA"
"wBMYAAVfovPoRCrdFoumTjrQmHObzQXmhepfLXT","WAEP",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1612","XrlTX/QjNqgcwKwFOD/ciCuMonQUfSZBeqTAXvY","yjxSzlyrLBTqtQpPGjQKVDDAzudMZRDJTbciKXa"
"h+rXyQW/qFxcSulL/BSMaeeQRgYHZFjqhnTnHYY","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6205","DXmDCumZhYJFLXQzxFkgUzuPVPfPDsTXwSjUdK+","BtdJeORrbkEfwzPhmaJXMeo+YWUMvoYeUEYYIlK"
"XUEvloArxSTcVgX/BwPMvSvtdsQNZQOXnQWpRTX","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6251","HUzjAvQgKMRxwTPxMNxvBQkYJKQbbeRoUTTAEZe","SbcCVhxQcjaMAYvdQJPQkiifCQCkSZbwlIATPIB"
"KHwScxYitTYgXNeOUbEyVetXTSgkbMQilBiLHGs","MISC",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","AAA 013","Gemischte Landwirtschaft","J09B6503","aiKXoYUGjBlrv+i/uJOflZJJWSVrz/dZlUUcPyL","WSZZVqYWiMHbfYYVTTjIXqYtYsHRSBnkrQYTXKD"
"MxjivrUVKTWYosWmYQtYbYJsXedWqfYJwtOvHUu",,2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA","Private Haushalte","J09B4011","QSyxwXilePbZ/PSsZQqYDIiSSWHKWbQLcWfOskA","ggLVjIkWXdtMZoZWopNXxmCpkTqiExLRgsQZSDL"
"shrVhgsSOvnTUEkXPjZYMVYqXWQfVrCyPMnbpUa","WAEP",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B5433","mgYYaaleuQLBzlxrxT+bVUTlXSFrfsDUtawnFyR","TVu+QTXVWDBDiQbpZXzoAWyGSLdQOXPZVdvTRrs"
"bVXszMuKnltsXTRZWComNXrcxLozUdxYDYAHYAx","HAUS",2020-01-24T00:00:00,2020-12-04T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1612","E/SZ+dXtOdNEOqXYTaWinQBZJCjpFUWjylgIkjH","SrGhCRgRXpIvHZLak/STYWrXZVijVRY/pFPkFwB"
"QfCvUBBJOvJQXYgwAhEvaUXTeUeVvqWqCzXeIby","WAEP",2020-05-28T00:00:00,2024-07-18T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6502","XFVbbWQoJXrmOqiAYocXGpKmArZVn+pa+IPXhgc","XldFtXGJoQloSvDNDXQTNcWZlPmZJhOOfpUHWYt"
"GLfxZRvYUuiQhTRDMgSFYhwbnPkd+UsXFKBUUZR","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1701","FIo/SQVRKeoeXklvXIPg/lcJHNdX/vsNBgmfNKS","FIFWhJkOIZDYIlbVslRHrOSUdGRBFVWQsrLrSyU"
"CUkXZCuuVPIOHtcVcWSWPlaHYqQTTBTgSTXkl/f","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6505","SSSIndGYXWAsSQZEpViZiZZbqTRbhwUIdRjUwjR","nRWUwTAGUIZxPdjQJVZmDKCzvZvVNZUXHQnIlXV"
"aQPXZxBaTPwRYcnumkDHCUibtFWUeYvYi+AvdTz","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6505","eGPksafzFJsRQVdqFWclTvURcXcobfDiVtFRXMX","qnTLCNDgQWIlxAMjgmUilNAOSCQdSfNlSkj+kzH"
"RQWD+mzhO+p+KX+yHRRSXiw/mnUgQYoTbwhYdTa","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6505","IstgETKJsSrSIDDbnDfAUSF/tvhwPOuReggUtjo","rlcmUUFSSRrGaTiXjXnSt/qXcFlgnIDmOIuhDou"
"Dc+OaUESh/czeWIXRPQAvnRSVYP/QSKmhFHDAOY","1114",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6501","wLJonXXcLEwQ/tWqphcfTzcR+eJSTmuYkQFIKNc","oGTZIzTsCbMBqfVB+/Th/UUtQtNqdyTWTChaKik"
"AWlTzQcwWSSwYXRDFREGimkIGjXnDrFCoQugQLM","1038",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1701","RkGQYSS/TVRxVrTvuVxWJqDYwU/sQIQTTKHyGuC","KrIOWklc//MmaAEDJbei/WokzXZVUmQSuxHYSKq"
"PKpFXGFNPLmWLZaTWjTWhVOKQj+XTtiXJj+GTMO","1018",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6502","oo/RSFkZikrgVQOdYWUeUv/WnUhWXXUnGrTLYsj","VnTZWuScxpUTRRYMUVVroeLACTSMnnqnHjsYdBH"
"jNwWlUnQXTbTU+Khw/vFKdrQgSUvZZXTye/VkIU","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6505","ibsHUNXAkVdabzLsPladUQYbyhWGtQpDNwHtPbU","WqDSWAtMIKQxXAZGvQZWSHWvGdIqcYncUefIYpF"
"LjqWXNAQzTXYnrVXpghSmyLaQCTZZYExRQTBNxT","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6206","vf+AVSGHURH+fnoswPObYLsHXUO/NJEgzRYXzaX","I+lReEubXChQObYCmdeWUxJELwAqSKrGtOtikBh"
"nNhsACeMfITeCIppsTBLtYwshVNtxkLfXIqRUGU",,2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09B4011","aCMYjqbLPQnytdkKjAVWzE+cRNcHsORRg+ZeNAu","ZoGZWEYjGWrluWQUagMQXFWgoHQgbPiSfxXoST/"
"tOWJUgOVbypIzkQsPuSVXXoWWyqmR+mUeYWvVYX","AUFZ",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 953","Gemeinschaftseinrichtungen in Mehrfamili","J09B6505","hLgqbjgJhMAfiRicqPF/tHmDBSBfUcOeELaNSlh","nRWUwTAGUIZxPdjQJVZmDKCzvZvVNZUXHQnIlXV"
"lLUYGTPEiQqDR/DUOi+gUYSQELeirXrlANSorBw","ALLG",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09B4011","ti/YhBtflqjSGTTXYHPDSGcYFmZR+ZyqTx/lJtV","frXAbGkzOdmpTYAvOTOZ//WaaIOHWbXBwVCHlfM"
"InWWkBGEEpiIBXlJXPaQSR/XYteCXniTlmfaxVT","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6505","WbY+RbXXTBVejCcgVERrbrrJyJBSvbiRVSRIKVU","qnTLCNDgQWIlxAMjgmUilNAOSCQdSfNlSkj+kzH"
"zZUzhLXBoVkbxbTp/PlaW/FJ/YvQWrTVvFYSNDO",,2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09B4011","WrosfxdgEFqidVABjIGAhPJocgHwTYPmeVReUKR","qoVwXhYmfanXpzrOPMBrZSTOTjVIvRfssYcgLie"
"BdARqGdOBdV+zIwc/oUzNjJCrTNHxWRxGKrznTn",,2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09B4011","TiWNzNXIUvpQO+QvpmXZmxJKpjZCIZLxMyZWuts","LDZTBPsTQQsyQUvWhmZeUb/hpoXo+PfzwmaRSlb"
"WCYISVYThmKzRtDJcnscxG/YSAkbnCFYfVizmIT",,2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09B4011","VDiaxh/Q+OWDRlkLlhizuWJzKmDyHUug+NySDPP","FHTDUPcYZCVdGanChHU/Sx+ZSUXUeWCZiIYUbeS"
"WAOevSLajJqAmGkuisBhRVonPwSABCUXnkRkTXR","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1612","lrOR+gAGXFrGqRRTNOBqnGqaJlbNgVBwDRPGD+S","/OXS+NcVfszSMttQcebVsZcwyQSvSkTI+AGeSnu"
"JDZcGWkJquxblyYEReWbXzuuQO+YNZQvYaWQRrS",,2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09B4011","cJAQFWaHQlxqSsjMg/SQhVzRqhU+kQeTlHZUXSZ","qMlysDHlZCmnfGqYvLRTmFSQRbtsJhp+VHIZfdL"
"eSQPbLaTXDhgUVfHVXLvmTOPoGlUTnSZIYlmqEt","ALLG",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1701","VhUqtYuW/UM+LIRUF/wMAdYRXOSlbtSUYKVZVjF","wmphTNTWFspRWj/CGSPZUURNruJzkPXHVIpW/Ug"
"kTPBUQVBaZNqcAXDdyyDEPZCtTcqezWiucrWYWy","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1701","SWYVUEDulvnuGQXOchPTiCTdCkhISJZjjsyRCUQ","wmphTNTWFspRWj/CGSPZUURNruJzkPXHVIpW/Ug"
"Xvn/TfpUhiHWfgRYV+ZPWtYcTC/jm/AUuRdYQNX","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1531","okb+RUgFGKT+uYXiVsZYkJSQPpeZXIQXpftWzlo","SYJ/G++iLxaRgZRUbAHIzfi/fQUeQLKArGr+fvU"
"xlUTC/rScEkNbUltqWFlODWqZBnwHCYZhdulHWB","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1612","uryUvgWMEDcHGRHljoglYjBhJYX+XXBUfedZFvy","YSLUkZ+vqTsKnQHfLMAPvaKNyJJksgWphtIIQ+i"
"NGIUPJXtBFBggcqsEymhpjTjSqWIhsTjVvyMQVi","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6501","nrt/XmTiTrYYTN/REznBxTRwXeGxGorNcfLJyXZ","KDcfVfrlqCutCXpJyOAtlRJVXoJATGIRcKXEIlQ"
"SuQydWBB+/otKOltAWscbFmZzteFNb/ObgaZWXc","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1612","tWgwTEmRzLiqCdarzJSGrHMSxNRjZIthEzHilRr","WmpDavOYCQ+QrMIqNmrRazUyXVNLfSBRajTgjNP"
"gF/QWBraCScYsmVZuqjyJT/LORTRGemrPVjPiiU","GEWE",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","OOA 935","Ehevermittlung; Sonst. DL","J09B1611","NNRdZqibsGKSWLXUYdGNUIAaVQVZeVgxz+UIeWU","oZEIBQHipzSRLUZZEHYTZvUTYYVGZphMNxUTSWU"
"zNqzZxyxCkVXPdXULfVExMyfsAJAVQQlEPHBLLS","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6501","QSfrqcbbYtacaVGShsYT/cfIURjqoKSSCkdoSuk","aFCQdUEZYypYMBjbsuyE/UldpQZYFoQnQISuqBM"
"aXWAWEdyGYHgEt/TNthxXj+GrrtsxwqSqavAojf","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1612","WdZuVQkiDxCHMmOSecm/SXSFZMedxFZYaRBmdzE","A+hSgElTRUXMJZ+ICRmPFYSqilWKXDAtxVzYgiD"
"UMpUTxQSaZyBKMZExYDMmZpVURVXcQJimlfvsti","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1612","nQrDBQIwmhRoiQHu+ETabbeXWFHxZcYEYDWuVZu","zOWfBRZ+zRIWlezfpdNZTKSnmpqSfZOBTd+TQnL"
"AmtloVZiiiSykrqhuMReTVHKVEJPfX/TIUxlgWe","1128",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1612","KgzyLXCXQfKXrN/WWSjUITiBfcVqNBrn+SFhcXy","yUy/VBIGD+MjJ+wKYMayqUVhluqRqHdULkUDWaw"
