Meter Reading (MR) Doc. No.,Installation,Meter Reading reason,MR Reason - Text,Scheduled MR Date,Meter Reading unit,Meter Reading (MR) Doc. No.
"GLqWvSSPSXvV/uvghc+XmJDQRYIVEUMnAfpWHWU","hBNQoPQFBLNsuegCYLVBlhOYcWXlqBTU+VwwElc","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570342"
"AgtWVZiaUqVMZCoZwZrrKjGzRTBY+r/mbUPVQcZ","pBWogwTJYYzwXiNgTCJEEOqAYraqhGHxhjGQKnK","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570360"
"UGRBLBBONvO/SYouSVyCYxOgNfclAoYtzzGwgfU","cJRxRZzScvLSYSGKsAvutQpVSdMvkbSZglbX+sr","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570400"
"eucxwSdsOzUHwtTWFEYUHCJwzRDwUUDoqIqEkZY","IuBEOCRRPiidBCjyANNlYqmRcZPLmgYgTVRrFSI","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570433"
"uZWwRFlZyKMFqZRKlSjIwhyFTpKRVyivPXvJQit","SgqYLUYQSUYQXBHuNNKbgzvaLKXzCPTlpYSCWkX","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570469"
"/Yu/PWwMrSa/svbaTR/MTuvLPoE/BT/FAShOITi","eoSWppnNvtdxmXybZZsqnqRpEeRiMZBOJyMTdZP","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570602"
"YyClXictOeKJIUAjrwEPnEzqPgWzaP/QPSwUAtW","HNwBYlqJqLJVcsChVZMVrypeffNZSDlKsERWKPa","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570610"
"YJdTrDDdiSjLEZPeI+CEZTrGuZVcbWplvFJTpLc","ZsVW+bj+rfEZiToYYWjQbQtalyZdxERmYTWpAiW","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570637"
"NaMJLs+NssRwXJHjXIATLLIOeLElFKQKIQCIBKg","TgGwoXRxPpZdGKLcTBinBLRJprU+HKuOmlXcuLk","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570651"
"dQmtof+xrKzFaTQiiFxIXXNmoBcHlDJXmKzbXul","UryVSYYAV/WqFlMHvQXyzRkOcATXEIX/REeQyDe","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011571889"
"'+ZbXvHNVZzQepEdYQdUQmuMTrTisk+gQrmaISOj","ZAVWeyN/WRmWQs/aHddQHjTCTdCzMXUZZEzyTTp","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011571966"
"WPTOflvdOBUXceWNpBhqVckXpZBPNhnuYCSsvZp","WiFYbRDZTnTlbsnAQZvnTWaDxbSKk/MmZBuUtYX","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572017"
"pf/UOaR/aiDJFNDRcQoQypV/YUzSRFbVCJbINLJ","sXDaIZVahPOtuDKRFcSXRdURoqzDWEKEHryGWoe","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572037"
"xQINEwUaSZgzWzARSZRokCPAqcRDRZFtETJjUaz","jYMKWNZVQXRIAqYW/bTsUj/XzgrQYqOcFaWAjVN","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572070"
"clcKvLTLQCpRcikVSJWUf+ONuJWyjZyRTWfTjDf","WAcZVQHqRgtPlRouTBVxvPXRNRDKUZVMGGDUYlW","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572073"
"eYiuQQQgXbhRXugWYBQYYmYnZDaWERBZSwfzTmU","zEbDwGROTsCghvSRzMhrSVs/tZUULbCdDVmZPSQ","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572085"
"UYvHulLawPTSPpTgUF//wKdq/ll+TKWOhR/llYA","BIHTeLVxEoJtWsSVewfXNvgSzWYozptkYRLCZoX","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572161"
"QTw+XhNIsXOtOCXyfgGxarFvXdqIjwWWe+YxT/I","rWpqaZmaTccZhGxA+rXtcrqVXKXZQW+MDNYNWCp","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572211"
"UXIujiEEJqwLWPtdnXNpgLictkEQvqHGRQzDsuh","ZcYrZGQUxyQzAenzXJWnRZRzTVpFXRjQpYsGDTJ","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572221"
"DeAmWpUEVTFJz/JaJHlOjWZQqLryansBPATUSVJ","IGgHtlWoUHtVsGQBlcpQviaKIJLxFSWbHNAzofa","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572231"
"XMsgLHFbRoUsQBfMvNUZAUFwrjXyyWzFBnlwTpq","qMZ/SsNpUHySUZbWBFRXXtJzsbWYTMoTDASjLvm","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572262"
"tVqUDYpuTBYpCiHRQNzSYFBkXYMOQWMVwnsvAUV","EVUMbvOURmTYOdY/TZMIAVDocxmrtJ+PPAbed+K","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572306"
"QXotVWTYOUwaT+OTUuPYkQIsnnxRMGUSWhiMkkE","kwXrMSFUncGB/bANSBbbsBXkCRDHTYTZVYniVua","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572331"
"dAfRCvxhYaaiRPeCAXHIHUHYkxpaBcWWinmUTkP","/aBDXRULsEZTAmGZSnvOQCiXvBERZyYMUROzmYg","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572345"
"RUQDaXVqUSGCQIQVStFfVpjJXnncDVqjQrvuBZQ","EtovcjqMlCYgUbAuZHHutzYNRetukzsTPURXcpX","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572361"
"LUo/KWcIoeAUsoDNjKxYFPlEjP+RsdiheSaRCBf","VkqTyqrqhflIRXQh/UXVFSCPkWv+QkkfQaZcwFg","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572398"
"'+pmYYYYOb+zMNoWYEysYwZPrTHarjmL/lwYNE/J","kXYdWjIJVQxDKHyuMpHMz/QPlp+VZcrlTFplEhq","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572415"
"KPQFwtuRvCmuJLhTHutWWUWtWHVhKRgWUTCZDXQ","ufYoDSVDZTA/VnyUzGFTAMYHrLwTyWJT/FBuNTv","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572454"
"FMekQpKt+bnTYbGMjZceIllvbFmTSXmgBlXiWEW","lSqzDQfdq+dmJBjfLqQrIkfKtR/MjIYjifpzGRQ","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572467"
"LXxmkUgfdCmmUmWORQppYtfYPtjISOcefizMXxy","aMWXMMxfrzTYSszZmYUskkVxletGZbiURQEKBsH","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572485"
"ChR/UVPEjxNYuSxWxYaYbXzbOZ/aGYxkNGUxyaU","yUWMAaoKkFnePtwhufbQSSkMlLipfAptpW/Tmly","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572498"
"lVdYkotfhyGqUCFJprNCBBVHxRGTUbOXzWQFBQl","tfQdDdMUACDfQUbThQY+sReDBuXXDAwYudTiLgv","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572550"
"cSbcwWjYJUWRuGAsSHZTJuQZkNTVccWQTikQDzW","qOkTEXonY/RICYWAbaVCcKZpewncuTPIOJoZCWC","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572571"
"CyxCIakKMlXBsXLkWocUERGQSRmLZvW/tQwlXEC","WtAyWZRRLzUeQrWMwFmfmHVMKrzwVPefUQbmB+U","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572573"
"ZaxRIVGMicRomhySVMivZVWmplINW/UbWaWXdeZ","iZysFZqeBSRfwCgHTOsMcbPXUgECpkfLUKMQ+Uf","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572584"
"W/G/gBLcetuQEIcBWOquLJzhSOmRcSrMXRWWXGq","DMSriKK/XithOrJWTZwPuredLRQLWTYtWQqYxwQ","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572596"
"SpRizqdWNSWPtMqPZP+UuYKTl+kORGGqrYGRXOA","VQsOlZxXQ+eOVNWDQQcWFRnkoQHieeQnWraJyzX","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572606"
"kCMVvPjVGURBqUBaXUVeQYAfWPHPClToEKNCexn","OZIhkOgAUXPRmeGHvCdyQUooNlws+/DhRQQPQ/Y","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572650"
"qTFtWnmgZekGjUEJVnLQOXSMlpYwXIUxXjPUNBa","KQsTczZVVVESXpwZwZpLbNABSWVeSLUKqCZtCmk","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572709"
"sYXT/SBGzwQznsgvRVQOLHUfqrrtwsJHtsQnhBM","ipFRNiKF+VQSMOJIOpyfShZmSSQORzaFkXVVFRq","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572716"
"RmhaWPNVTOunFZTiuyecWwBZEVUcXSZOiUYSGTi","OM+WgrxWFnUdbUqFHUzTiRYRTuWXGwRSHnTnffz","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572730"
"uRRRIqmZ+EKSRZZGVzQRXSBDIjvUUZRRGojo+zH","rccKRSWZvynZqiUkGgkYZMjlQREPKlNzvWCgxNF","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572733"
"hzqjXPzQXBZggtBeNCwSBzsTyVTWOTNUPCUZxxB","BUDHYqXYUUzKTbzZ+XVFFX+oVySOxZJTaAWNjVp","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572761"
"ywbaWJCqZmVlvQmecQCcWQdjPsUdFw/EJbeATaf","QrVAuAYfSHUilKXSJUqcdwf//JqPXVRkrWnTVMR","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572792"
"ZDFJWYB/PRTyQjiBZMsUzJoBWR/NYTbnGPQAyb+","UsxGRTiBEMWVTOaMPERYCVQWZXNQQlBPxdrCAls","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572798"
"LYRFYS+nBsUFrpS+GoQWSReT+pOyXSTHVVUXwyo","DREj/hKYhKWZYfBkxYxQFeZeQhvEZVrhRTRaYlN","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572802"
"dGiX+WXeDenfUKJzgrXWyAJPVPdPqfmLXlVVObx","UVSbMWSwJJMWJKrTYdR/Xok+ZuSqmKmyKTkHJDx","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572804"
"HnuXbLaesyYQIdTyIlY+iejhqwDRCETWQ+CZJGw","tZJzsTfLJHIWxvOsZRrhvnVnIPZRrMKHuvOzmys","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572818"
"ihouXpYgQcwwYilKqrmRcVmbZBgHNWzWdRFdSmb","cCAEKomPXCstYVtjwBoeIdKhHYzSUwPdZcWtmPV","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572822"
"QPOUG/teVPDclZJMEkUMFGRxVUMIThzRqVPwVo/","VHghUQXQuYOFyqlTaXRzIRqMTpTwVkgzSQwaKgO","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572828"
"AzuDxWVVULTRosQeqUVQPMaZZDieWwAgPSoRbvM","NBBdiWWXcLvqFHWnWbB/XVNKCVTaYxJLgSiksZy","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572884"
"qllAGtqoiyEXlvZqD/JTgegthztEvLCJUoD/yDR","IQjTijXfYGFXM+vljPXZaeYwoYafLAJCSRA+PQV","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572891"
"JETDQcXkkfhOuaPcHAsIIXQHUbsfrzCREYggpWb","BprvFOXDgRVKlXRVRBRyNsZWdWGFawjp+LUYDWU","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572904"
"LXIzUxqYgFuWlFbgfWYuYTjkWrBCFURWnWRidoF","'+MdkyWZKEHGdaUqTNiRrLdbyXIni+hFXCMZTeQk","01","Turnusablesung",2025-09-01T00:00:00,"J09A1703","00000000000011572906"
"SgWtQFXY/mrwCMSnrcWYZyMjsFRUaNYMqpaRqpE","JZQGgRimFpssfNQdxBIOrTIhSwWTbyOSr+xl/ao","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574070"
"/mHxJDl/VrYWpDsobDcIVZnZWABRhDJwEfhawYF","QlfKLVDxzOSMsyJAATwU/pZeUlRXUIVRLcSJZAw","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574125"
"mGMpeSqXWpVxbQNNdakyBeJZiUTIdxRvKUzJHDZ","cqRWUmioTCHYRjhKXYN+PBgfFzATXSBgXXCTVQJ","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574155"
"vC/RLjmUWMNzEaVRlXQxlvHWrItsnfaKmaOhcY/","cqRWUmioTCHYRjhKXYN+PBgfFzATXSBgXXCTVQJ","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574156"
"UTUDV+vFBsprQVdioWFtXIUHdCZMQUYhoW/aCYN","sZXSlQjGshRWWzdtvvSKnhy//WEht+KuzGBZvPd","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574162"
"uBLUUjkAbZWSiYiIAMFwLfWqMWsHCvbGLOMuWJU","zXoVByWWpTTBXSmUAeTWHay/wNWSGDRlTdfDVpS","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574206"
"njVsXBjWQtlXo+QpYssafbSPiLEMRwSTXQY/Ays","CVqjyZmCTRbOZTuSTYVxdQwZvLVjN+MrZOldWwP","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574214"
"ATjZGmTRtPEY/WlQleZxjZptKwqVgAWRDq/olvR","LuZtAVyQcmjXYFnhwNWQpGrUpmhhiWJFRoYxlXm","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574221"
"jzTRUXdOYQwiFmXhfqoUuUQsjiWQZeiFgbPocGj","RVvDEEuUTAGBZGFSHYQtUDJqkuEYSYWwjcothdF","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574222"
"uJNV+CbhVpYweM+eeUYxHrMUVOKlZtUoESwidPx","DRxBGdYrxHZZVUpSkIDAUPptEgCYKYPliVT/DBU","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574245"
"ZYvYVyPemFUTPApZAjoWHQQCdUQlwDXX/TsrOek","ENMlp+CRThIQIpuarRhFTciIVURe++jQoqOHdeK","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574339"
"mgesgBOsIehbVQlOGkUZ/wlKCYFLOyMeVZqBaCW","jPXzTPpHEvdIllVULuqDQSTZaSQZTnXvjYus/Tg","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574371"
"EXiTiGoYJUtWblnoOZTWMXo+FCaqqaqZrDZgvtA","iZJNZYqRrPnpCHXRIMmaxieMLdDMbxbUWZVEoL+","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574375"
"pBXTQRSKWKjXzLnDVxUIMHVrTWeLepdt+nSGuQe","WusMXWyRaCKIRDthmEZCURHUOjFyKFmOhKfgxSR","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574401"
"YGSCxYpRcmGYHFotEngFVGBotATR/vuvPkiufPs","ifrLVaKeROJz/zpYuVsfVuxxtbPyWaweqrcorCA","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574413"
"gEAvlXYhQhdkiYuXXVrph+BhkQVGsUVyCWiNDDy","KFQjQ+aegVgmpnlMVYEFnDfvEJxUSRITfYEDbAg","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574419"
"USJQjTZmQyBSRdnneuVPZdYk+JffEQVUgXXVDZc","ukUHXXrmXVDyVAVnU/YUzYpguDJIigYVgPXRBZk","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574466"
"YnfJSODawDAMSf+SwV/URWsz/QMLiWXQZSDDrkh","ynhSkUJpMKckJJEOHcsmIunBplrooTbBjALVWvN","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574476"
"/VvCQ+PxmiCJowuRsgYSUboGSuRpAXEQZxlQYVz","TVZS++eVtsSoviPjFmeWcgzxdNgIYPvNUW+milG","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574485"
"SHnDJIWiyfNGPDphqnspFiVCRsXXZxSlArUGCfn","IgzoRVVDfAhDtxyTohJUmkYrsnGlBGVTiIeXHmZ","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574493"
"HIaUMsXkwrRdDUQzRTeUpusDYouXvTgwQMh/YTZ","RYHFBoSjqxTQxYFgVWthriKkpXRKIGVafTyDSjU","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574510"
"DXUpBocJeUWJuvrMUxZOQXZwXJZUgdpRUUXd/HT","RKpSQeLyhdZqXPepNdpjZ+EmIsNTQQQhwOAGcIw","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574528"
"bxYCLMQwrOuESLeTqvQTPATGiShXTLVHmUjtsoR","TMMyqmkDQotDVZVZYSOpOUBerienloYkGWmoXzU","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574604"
"YGLGUkDelodQgjDXCVSUYobsJcYHVCcVvtQHQTO","MwIXhVdtBRjJ+gsfJTxOkUkqJsXpOfS+nySStFt","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574726"
"OrVWZNYkyzHBLiCOCfvYirMlWQCEUPQOUPQvXsO","FQfxJZfMpWiKAZiAHIEVAnod/DrBhlLZDScVCfP","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574764"
"JdVSSiKXeCNHCXNVCVSFnXTzGQXRrQwXwQmkTkL","oQqcuEqZJcQQghaV/kWQbbjveYB+jZLfJeZXIuN","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574887"
"hecjXJ/cPRqDFkAyAtYHTDYevzSSZSCURzppLAS","w+QDyHMsBy/FOHNqRpaplkwjWWYCttNWIiVGjJK","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574896"
"zXD/UzOkviOcTHAgfIecBmkfIvP/uCczUCBqMTx","eiZQGVVxTGRklKUprkSVZlXyJ/xn+ndRUKKYWSo","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011574950"
"OtXQRvBRLggMUXmgOricgWZKSvNIPZMbtDFKhMZ","sqfMOoAgDRIfEGVPNePQRiUISzSvMmEERk+WZJl","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011575015"
"ORkUcSByynpXQnaUqxrwUiOxaJZCJtDReHKZDwT","AYh/VjdYlnYWLyqywMrziZHVmjujWAVpWViiQlh","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011575032"
"VbmSHFtIcaLsGdcQX+CjCqB/psW/IezMYd/uYQP","rQGVcSpEVuNRPjfZwZNhVZQS/xEXtKZXjmalPZC","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011575035"
"YsDQStHnwBFSfcjTVMuRwEUFdIaZYasdcupHrZY","DUYfeZRubQiKnTO/VkiDnvcuSArQURGjZXXvfHL","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011575060"
"wOqB+QysKPWBRVZZVKZUn+qPdfTTpGjSlUXusYM","'+WdwmyDJKRDxSXNKpcRqVVmzctBXVP/ARuyJZxn","01","Turnusablesung",2025-09-01T00:00:00,"J09A1704","00000000000011575106"
"IKVq/+FQ/RriVgONeQfkmOhQbLSxZBVyPDSqQ+i","XN/QNqZXVcqWSWFYvXvQnDRgXTWWXNeVSnQdUqS","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011567554"
"cNwNeIjTvrHQojuVNYWsprSTbjTJWHdlSNmhNvS","DRBxixQzrEPfIuheNwYjDeTJZcxTQUWoZhEPNVH","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011567633"
"TsUFlPi/tAlYJiuhuSpZaLQmHOE+QTf+dRt+VnE","P+kQgxCpuniNRqfPEbsWKzmbENORGGVZAVQaZSP","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011567709"
"gKWvQONqRpETJZTYVXSiWtWTrWTAuWTuqRLUXIB","P+kQgxCpuniNRqfPEbsWKzmbENORGGVZAVQaZSP","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011567710"
"Hipy/zjSZkFtDWQJHQOczhHpdRNwJttqmzZcpch","OWvAYGSyykrbYIOluxCrAziWDVQfWdYjbzFHvKv","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011567711"
"JcqF/pTajjkjFQAZLyQBkqadgdIjUFrSldWGXyy","uD+pleyDXdiJdEL/ytpBKnNZjstMOTuKIEHeZBY","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011567715"
"YRZCYZMWNRxVU/ORmPfgJxQrShQMuSZOfqtwupL","sIQXlRoEaSTvVYDIdRXBmWGRoZAWBuggWZoWaQV","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011567744"
"zNCrTMmDKUAoXUvqFncVsSNlBsoiHxKQQx+Mb+m","YOlfdrZYzSUXPhxzQYHSDiqHQZHaiDouLlYZZQl","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011567761"
"RpYVnEOVMdLgWmdRRNiwkkyRGKsZIpdWEECbEEo","YOlfdrZYzSUXPhxzQYHSDiqHQZHaiDouLlYZZQl","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011567762"
"cZCEwjoTMwuKzujgAUWjeagOhSTRJSTNPQlAWWl","GVavBaIWemUnHZxdhQIJm/QWiAOqvDQpmLC/ZZQ","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011567776"
"sVPmIhRIhTCtVEvuPRUNsgLiCBYkUmxwYXYWCeZ","BTijvVFQHggsqcGXWxamydoWYNRdSTXWNVsOgPc","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011567809"
"xVSADkVBWDSRiEBhWhrdTRIZYKNqewSwrUURRKp","JAJZRDnQSPtlkLW/zthPDwtOVDpAvhTcEjpJHGC","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011567831"
"BNYVjLeHUjfvsYZgFPQmZYwKAluRRDqvVumhFRR","NGEOSdEnhNVetoQBN/a+nQWwyaXHmssrUvCoHtX","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011567887"
"pvw+kvmDWiOwXQnQOMnZKcNqHFexMLrfwOBjjVX","TakjOeghFpqidnuYaQZmWwnKWYJUGXKXeLoTUvt","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011567889"
"eyoWTESQgJnAUyLUXYawCbSZXUDJYeYHw+MZMeZ","MzbaFJjuPUDRWTiLtQyitpxglsMnDCvElnGGNTy","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011567936"
"aUZTGj+aZOSDrbppdRGWIVxs+hMI/iImZZJWEbl","LegqYWhkSjDYQHIuXXiyaIcBuVYZvwLkLfQOcQQ","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011567991"
"BTrmlYXOkWxnSfQSS+NshOFEYmQGXSsJYUqDlkJ","'+XxURMppBZsqzJAJsWKiSSiyfVEjZxWZHiZYuQW","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011568008"
"'+WYZgntxvSUIbwZYiigooRBZjLzkpQ/cWBFSFhc","'+XxURMppBZsqzJAJsWKiSSiyfVEjZxWZHiZYuQW","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011568009"
"EczRFfHbyMAzpTlCWqwYWWenDyMiSQUQRzqiQYz","VlXWGSQRZPBIeSGobImIQTURCSACqubTLpzcYfR","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011568041"
"DQOSoihPX+LtiSYCWFUwWCvbrLsdtFfEUPTXcbP","YqTKTNhzwnMNVQMXXVTFCLkBgEGSyasawJYkerT","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011568089"
"kuanTyTEurhUOvVvXQweUSzuxpizGlDXA+FdwHI","YUJYNNM/aQTagQIEuANnAmDZcNcKkAaxhZZ+Xxw","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011568163"
"HS/vWJC+vsUqThaaZVVTbVtkXtSYRVkGWuCY+ea","lzZTM+qxnyvgYjYIoNgM+peoVyVgYDoRFQXZKqb","01","Turnusablesung",2025-09-01T00:00:00,"J09A1701","00000000000011568169"
