Meter Reading (MR) Doc. No.,Installation,Meter Reading reason,MR Reason - Text,Scheduled MR Date,Meter Reading unit,Meter Reading (MR) Doc. No.
"ZaQWCjiyje+EbvXbqTbfRwXhWgUgZ/IDkcFJYhY","GJuxRSIiAvLAgwtIWkUqUuyDbKi/VSBcsIVdULX","01","Turnusablesung",2025-09-16T00:00:00,"J09C5082","00000000000011686347"
"/QGycVEfZRNncVzNXwwffMOebMDYmxlViRGbYSn","umMTQ+CWmEqTsQAXwSHvBaHVQyebyWJoQVQLjMF","01","Turnusablesung",2025-09-16T00:00:00,"J09C5082","00000000000011686348"
"UVfbTyLyFvfOkigUtKEZZzZtAjzlGnozwUjnLVh","fpHwjgVQXCaxXUWhdoNPucktWq/jPavQVFvbVEb","01","Turnusablesung",2025-09-16T00:00:00,"J09C5083","00000000000011686593"
"QEYApUqdWexZFomXUEZRrkCqNoUWOXxeYwZxOGA","yKBWZCuYUoJElLyMOvGBbxpVDUVRulni+PpQirk","01","Turnusablesung",2025-09-16T00:00:00,"J09C5083","00000000000011686597"
"jYhgLksWWXZQpTHbEaZEXq+DVjQjXaDCZQXANPK","ZsZcVUvhjoKczTRHTYrSmQNtmLSWTxnjhZGWiPm","01","Turnusablesung",2025-09-16T00:00:00,"J09C5083","00000000000011686616"
"QGMkdJAVqVnSdaxbTCHlZafQRiqbTtuSOcFyhKu","GvaLoePLBfWTyYRfPlpTOOHxAouepYYYxBareGB","01","Turnusablesung",2025-09-16T00:00:00,"J09C5083","00000000000011686647"
"EJYeBTynNyvUAVNIiYnRUwYIBGncesytyLYY/Xo","sEBaT+QYrckOsqXydpgBRoyifG+SvwjwFXCtSdZ","01","Turnusablesung",2025-09-16T00:00:00,"J09C5083","00000000000011686683"
"mUvoQPColXiWSz+esnaMCtyV/bspftDSxx+foiW","SOrZTTrgfnVbDedpvVFZGQNgRmWCxduhbKJetrd","01","Turnusablesung",2025-09-16T00:00:00,"J09C5083","00000000000011686690"
"SnQnyBemcwaYuTqSA/hLya+WLTs+bmiXtwDcv/p","RXVHvqP/EosuUjSfiVJgkQrYetHKNiKZrRsVVOW","01","Turnusablesung",2025-09-16T00:00:00,"J09C5083","00000000000011686705"
"IgAojYRLUcRBoWXHJWIgxNgRGGHPbVXfOwQhfQY","lpWq/vTBJPwgYD+AxZMdmshCGiHxOckmebLZXwL","01","Turnusablesung",2025-09-16T00:00:00,"J09C5084","00000000000011686852"
"wancZeYjsFywrSCedbe/OWUqLzroWjUxoMIeSzw","lpWq/vTBJPwgYD+AxZMdmshCGiHxOckmebLZXwL","01","Turnusablesung",2025-09-16T00:00:00,"J09C5084","00000000000011686853"
"/v/ztTlWuXiaQOqatFAWxgeItSjoacapvjwzCV/","xgISauIlEBLFnNSXAZi/hfGYzVSXVUvYZkynbOr","01","Turnusablesung",2025-09-16T00:00:00,"J09C5084","00000000000011686886"
"RzLDZfm+FzKHCXiYYZZPDZPqzUvjZLnPkT/hQXY","QYQWvdBGXWsoAoYoXWTeQORtxKUBxMqZQkZqUfn","01","Turnusablesung",2025-09-16T00:00:00,"J09C5084","00000000000011686904"
"V/WBJoLZS/baZLIORVujZRV+sYSPYVNXDCLEIMX","cnHXNzbTwRFgSpHZXoqUUUoUgvwzkqS/QjgnHwq","01","Turnusablesung",2025-09-16T00:00:00,"J09C5084","00000000000011686906"
"BRUnwaBAyRMWtmxWBRttZJWBkqPEMUmUT/+XTcd","bXUUEmDUKVWYajKUXwXHFItkUifTTNJ/yYUuFYf","01","Turnusablesung",2025-09-16T00:00:00,"J09C5084","00000000000011686909"
"faoWEVtGTPWonXrXetU/rjTkZVLIgAaVAsXuVWU","OoZGaozQSTVjJMTRniQYxoipUjUvFVuuMVlmNVW","01","Turnusablesung",2025-09-16T00:00:00,"J09C5084","00000000000011686919"
"oenV+iIVRwgqQqsEVSHOvFKmTyLPgbZxTJQMRVs","XiaYWv/LLnWZYtmNrVesPoDGzlCmhkPVcCFMrqh","01","Turnusablesung",2025-09-16T00:00:00,"J09C5084","00000000000011686920"
"NgRTYHKaaCHXpKUYMXUPvJ/i/SR/AXXuwXRCXuA","LhtNuctJyuPbQGQYURsUwhMqkZCyYRaQICgbDeb","01","Turnusablesung",2025-09-16T00:00:00,"J09C5084","00000000000011686934"
"JGIUWHabeZRYZYXLisDQLHNNSXeVzgfBVmnVfTG","RddCWEXEvQTXtheqYLRcRBgwN/Js+sSplrdwNOS","01","Turnusablesung",2025-09-16T00:00:00,"J09C5084","00000000000011686943"
"ZIhXkZyJmYQYN//YVjBSWODSAdocfSeXNTKiEZX","YdQMLvJStiMxGj/SWIpZncZUpWSIpzGiikTbbSn","01","Turnusablesung",2025-09-16T00:00:00,"J09C5401","00000000000011687189"
"rWaTlfKeJcVhTYnTcHvwsZ/qHQDYCvQjfUdReQv","Xx+FeWrQQUXJTMaeLAtvTbCGXtEZvhlyykJKEWU","01","Turnusablesung",2025-09-16T00:00:00,"J09C5401","00000000000011687192"
"wWnIVTKsEfXcjlTZaglvIcRslYVyvSJEAkJzQCY","XIxsVWXmKBTKRZY/GzuRjOLQTJNuXDdE+/VxPsi","01","Turnusablesung",2025-09-16T00:00:00,"J09C5401","00000000000011687206"
"TTWtgYTsdTTmQ+comSDsHCVOsYXEdewvXNfDiK/","BdrVFLZvOeUxLOlTXlNySMIwFNHiOMJydEyygxP","01","Turnusablesung",2025-09-16T00:00:00,"J09C5481","00000000000011687442"
"V//TROk+uhkWrsUwlZYVkhkcyYzo/lYHMWjaZaU","NYUtX/ZyrBjTYHfSYdWSpieTnYQhECThZIiUU+P","01","Turnusablesung",2025-09-16T00:00:00,"J09C5481","00000000000011687444"
"GvSgUaoeiWveqkMyQTiQxSRgATUgjMmAXetMZyn","xqYSYCUoqRNSWhNjKFwHeUcRSHdZCWwOmqR/lFI","01","Turnusablesung",2025-09-16T00:00:00,"J09C5481","00000000000011687457"
"MeTPS+SFUFlAlTbVacGSehKUcSxYVBXgHhzZTEL","fqfUbjVKquXpDpTGwnCCUfCEmQOxQDkyTYzTVbH","01","Turnusablesung",2025-09-16T00:00:00,"J09C5481","00000000000011687478"
"cnEfBfUMGETRDkZkVYpZOFRlXXLXIEVkxsjhNrc","dR+BmJYWiUzTOnyfZnMLEHIhsSpk/gNas+RPj+Z","01","Turnusablesung",2025-09-16T00:00:00,"J09C5481","00000000000011687489"
"yxE+GBwl/UTUnjjfbUxVVpgSLLl+QEZxQSuhNRY","uKTGgiwZTRqVzIeSV+EYhYCVutySiNknhoQTMSe","01","Turnusablesung",2025-09-16T00:00:00,"J09C5481","00000000000011687507"
"dU/QwqMiTjLqqBtdAAwIvYOZjJsURjEUf/nRNYr","uKTGgiwZTRqVzIeSV+EYhYCVutySiNknhoQTMSe","01","Turnusablesung",2025-09-16T00:00:00,"J09C5481","00000000000011687508"
"qKlNChCYJTsVHejaXAoiTKHJ/yIXvAWveAvEndB","OhYxqZVJAWzXm/KRGtRXVONXsQgmZvrYVZnjOro","01","Turnusablesung",2025-09-16T00:00:00,"J09C5481","00000000000011687538"
"YYMLPSJulGxdxeJ/XVUQYKCBPXHsUzInUStuROT","RraYNvwFQQkfxkFBSWQkYVGYSUcgHppHNSJnUhV","01","Turnusablesung",2025-09-16T00:00:00,"J09C5482","00000000000011687714"
"YFY+VWq/kwNzrdSWKUeweoLS/DBPkxZjvpdSRou","RraYNvwFQQkfxkFBSWQkYVGYSUcgHppHNSJnUhV","01","Turnusablesung",2025-09-16T00:00:00,"J09C5482","00000000000011687715"
"TKTNRMROSPgFWvQiecdvtPyZdncAUUjKHUXXgy/","ynCnhnXx+bb+TwzdQZJajHSwNYQESDYViSYPgfT","01","Turnusablesung",2025-09-16T00:00:00,"J09C5482","00000000000011687736"
"SdlibmkthViVnfF+nWaBYrZkZEILZcnAalNZ/fC","nqeEXYAvUtTyRcYcReEKlgVPHEkOjgPYlTvTQzP","01","Turnusablesung",2025-09-16T00:00:00,"J09C5482","00000000000011687747"
"CsUNZSgsTN/JX/WLUAQCLuUT/bCziHAOTBYWboR","TnVSo+VBZjdoRwXgBPJPvgY/Njnmt+RcyZETV/V","01","Turnusablesung",2025-09-16T00:00:00,"J09C5482","00000000000011687757"
"YwwpOQE+F/bNrwRZizwoJLWRrKnkC+jvuaYINTW","FgDlkTmJvXp/fXgZkuJkoKdSxMeTWfqTOsAvoTi","01","Turnusablesung",2025-09-16T00:00:00,"J09C5482","00000000000011687770"
"ZBYVYDeKRbWoVSjNKOSQm/XTJXUgRNTPISVcp+B","xJTCWXMIqSTappgQOvRlVSTJWTguYVFXGjLDRQV","01","Turnusablesung",2025-09-16T00:00:00,"J09C5482","00000000000011687783"
"UWbSCFUXlxuBaRsYfQGRtVfJSbhMZ/HrFAYmTcZ","iQczcRmBFO+CGLULHJiQGcpJfNmhaLcFACILZyZ","01","Turnusablesung",2025-09-16T00:00:00,"J09C5482","00000000000011687814"
"'+HGNDSyXqDWQGHFUznvdhTTwApVuYNaH/XQeRhq","iQczcRmBFO+CGLULHJiQGcpJfNmhaLcFACILZyZ","01","Turnusablesung",2025-09-16T00:00:00,"J09C5482","00000000000011687815"
"wOjkgnPdzvCsgWZHIEQSuYSrsUjIFnbdkVQimkE","WuVroZJrUmih+mXXcNNQfvDCWjukauCGYvEoROm","01","Turnusablesung",2025-09-16T00:00:00,"J09C5482","00000000000011687831"
"YVBbM+puKchPZCAzTESVvUVf/ZVXVapLeRNZBAY","FTNHdSltwyLYdknUpuBCGBdujqxtBCmcYLAtrDK","01","Turnusablesung",2025-09-16T00:00:00,"J09C5482","00000000000011687845"
"cYiUCpKWSUk+YQd+hiQUSdCUzGUcXMKgIYpdgIm","AAeYXfOqTZOsRPlq/TxXjIy/yhYQYVXNRtVLSlA","01","Turnusablesung",2025-09-16T00:00:00,"J09C5483","00000000000011688004"
"SZTDuTYTFSbBXq+fHwbmXXHRYSLTTyASYCON/gU","a/DrQsrtVmxYwDqVBVZrl/gYxdXwkWThwVMO/TR","01","Turnusablesung",2025-09-16T00:00:00,"J09C5483","00000000000011688005"
"WZoVPKvrgFAKZHxZmEBNFcbaJPXAVunDTZZVgWv","DINfIVDYYZWTWVdAgyDHYZEvMMCJszFR+Z+PTFz","01","Turnusablesung",2025-09-16T00:00:00,"J09C5483","00000000000011688027"
"PUmSZGCuVsbTspMncVjU+WMzRsppjZoAaatqqWW","cPXHXmZ+Tnyhdloaq+lLTqbVkDXJTcXWD/oRUEU","01","Turnusablesung",2025-09-16T00:00:00,"J09C5483","00000000000011688052"
"baXSQthyzGWgtuzVZmqbXVJRJLrckKCgIIApRnv","dCYpEWo+zpugdJiOGpAMwqNQDLYIFMJjkXvdATV","01","Turnusablesung",2025-09-16T00:00:00,"J09C5483","00000000000011688059"
"bKCjMSYutWrXBUPbS+EilUNVVUIAEjZsbjYqDea","YujOVhXjqCXZyFBazgACyyRAWESnHtnsanhUpXo","01","Turnusablesung",2025-09-16T00:00:00,"J09C5484","00000000000011688178"
"vjtUusAQXXWYTF/rIXCmmfrgsekCgvJWMOvhUFe","YujOVhXjqCXZyFBazgACyyRAWESnHtnsanhUpXo","01","Turnusablesung",2025-09-16T00:00:00,"J09C5484","00000000000011688179"
"jkhUSePdGaNChWHjVAYaHJTNtTtzLfkTzixJrGI","TBnusbAEznfgzrSYgzZYYQdslUaWtMTYmjqXRUL","01","Turnusablesung",2025-09-16T00:00:00,"J09C5484","00000000000011688199"
"KVQTybbwiZtYPPvUwXdQvVKxhXEQqiUtntPDMCq","GWHSMoluACQCrXUbcJVwrTOWepTUCTQBcrsFPvi","01","Turnusablesung",2025-09-16T00:00:00,"J09C5484","00000000000011688206"
"bTvHS/VfTULLYPEZaKTsEUYdUYlXXZevioWneVs","lU+/oVVYWgoKrRKqchmTkThsSnIScQOMMVjzJrt","01","Turnusablesung",2025-09-16T00:00:00,"J09C5484","00000000000011688219"
"XBoZVxDARQHJHfsaIAbyHqUiuqSmuASgsVTSUUQ","ybAKXYYZgTbmSwAnWnZFOaVWmuFJbXLgX/pYapW","01","Turnusablesung",2025-09-16T00:00:00,"J09C5484","00000000000011688228"
"EpmYcPYwDqFbciBjuzQlU+TCbATXSqWggiEuEok","ilSbALYMFfUJfIjntcWYuahBqxCXUiNeOQARbHg","01","Turnusablesung",2025-09-16T00:00:00,"J09C5484","00000000000011688243"
"NXidenWaClCbiTRITdB/WDRjQFwZyrfeLvwvSdf","ilSbALYMFfUJfIjntcWYuahBqxCXUiNeOQARbHg","01","Turnusablesung",2025-09-16T00:00:00,"J09C5484","00000000000011688244"
"wgVTpSkMTqQyjQJZplYBZQVJfNaLBoLQzVZcSZ/","CYMkWWpMYMEUZTVLD/w+XrZBdZzmXkRXtSLtYdY","01","Turnusablesung",2025-09-16T00:00:00,"J09C5484","00000000000011688250"
"oTqbcz/JBxrlPmBSPZtuWFsuIHMOAbYOTWFLTuz","qSlcQweuVtlcTPLcWYUAGJXiTIYXuVEkdRCWeSR","01","Turnusablesung",2025-09-16T00:00:00,"J09C5484","00000000000011688280"
"qASkwNzSAbGIQrSWhkgXCO+zYlKxs+s/PZnGSoD","RZrCSExcnfUujwHTYvBYMeYZfAJYUVRzVQNTKfo","01","Turnusablesung",2025-09-16T00:00:00,"J09C5484","00000000000011688289"
"nXOFfy+AUZ/WgtXSiekjpmQORtjvQM+ZCSqRVP+","KFsqHeVCBbVTURLUWbjBRPitxnSLkVVFqtSjxCF","01","Turnusablesung",2025-09-16T00:00:00,"J09C5484","00000000000011688294"
"yOm/YVeTgbhR+ZdGaQVWjXWaadCNeQzELNhSWJx","UzVXWMFKsrVKCuokziNdVYSYEOEGVIVDBPqQhuC","01","Turnusablesung",2025-09-16T00:00:00,"J09C5484","00000000000011688297"
"pPgQs+sLqBe/RSWUyQduOW+VzFAXaAZKpdVjPUj","SYcUoYiVHYUdSfuRtfjLGF+SEMWWzgalXdnlNiQ","01","Turnusablesung",2025-09-16T00:00:00,"J09C5484","00000000000011688301"
"xdxVnEgpaKRATwGAviPtsRpiXAbAiQ/dRMZXTuS","SYcUoYiVHYUdSfuRtfjLGF+SEMWWzgalXdnlNiQ","01","Turnusablesung",2025-09-16T00:00:00,"J09C5484","00000000000011688302"
"EMR+HievT/SXrLaaIsQJWubJYeOq+SUmcTdTUrl","kackbRYpiTseCSO/fJCaSelzWKXZLOGWHSSRZEi","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688477"
"TfCPDaUxYQmqPkt+/RBuYNVGRTios/dOUsoVqzK","X+ihVputbkBe+zpVgUOQjRnZeMnnqUicZBdYnOY","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688478"
"HWGeTSYiQUicVKoOIMBOVIuxSZHfoilqOcZFuRa","QncdRzQsBVMhCVTxUTjUHcojOfZiHhQBShMTSJg","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688480"
"NXTy/BKuhcQcZQREGxQKgbHJfYXIwoNrHFQlb/a","xSWaYOgOtjhZZDsICaN/nGjQsGhWEmrtvYmoQzM","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688489"
"hnpDZnNeAIhtZiLWEhYLQiTYexbmWzOphljEXXl","tHGBYnoHqRqZuFTKQTfIXRaQkNdmS/EhtXWCrkK","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688500"
"BaRyKsXKONHKZjTYUfMRsS+CPYyQqrFoCuazIUl","bfbNiQno/ZIZgDffyxXYRgdeYYaTiSxBMqHADZD","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688521"
"RRdLUDQGTgUzWRQifRWNoiSsRTkTYNcsSenMfB/","OvPzTNCVxVSwSXcNtrzEWyVYgfPXteSgAOOjPtY","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688524"
"cWVTK/QyZcRKUoXoPZkSKXyTrleQRGfgbNIUIYG","rvCh+qYJWSLkmOlZMMUmWRMQUQZUjpu+wpjXBQs","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688526"
"UiVbLMxhCQqiODKKsvQyE/mW/aZhkmwuKZWlFhS","SaoZ+OQoKKKdB/IdBScgYYDNOGQuSNCCdTBhEWl","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688541"
"cIuM+llalxAHVgpXtqYYNhoXH/JvqXkZChocZZa","PCiMFXJYxuDqmKrXVNjaexroTfOZSmglTWXfQiT","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688555"
"AxXzjPs/Pwg/tI/rStxIPJWtQLBVSunhTqSwZTK","YdYWoJdRo+ytfpnXiCFVWYV+JVHSVVtvYQRfgHX","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688556"
"LUmKB//FtGYdmNRLAQZYkIxSVZUiehzRZYnsrXD","ZjtbuZyHSTTtFflyTCAJSvDVplYMtTZWDsUtCXB","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688559"
"QLZXvWVKjpTyAWnSSqbTOOV/paYNxNHJxkieQVE","USrZwYwYMqbdSG/CjKXZYEyJTCXmqQCUbUMWZoU","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688561"
"VBTFPXVVWTRaJpsTiCRPQuQvgMCbzeXZJIcUSKS","jNqbyT+HRCgPwKgwAQvOWOCajDYoIULZC+AMTcS","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688590"
"JU/oAWjRBLXGJcwhaIaORQtQP/MxqJDoqVv/mUT","NUvmAeLIgWjOQvjkpZXWWoZsmNVeuiImsUFktcx","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688595"
"OlQUUgrQfircUZ+YUyRXbiZnpxGlqkxIRMGfFHX","SRgIdY+NKZaxYCaGavJArEITKVUlQWUPXCLWSZX","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688598"
"MGsXTbCZJWOjOcumOwevvYZQdvqrUqUcyoUpCaY","wFpiKSHswYMTLsUWlgbznPUvdINsqUwRBlSYvsL","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688601"
"FdAUfwbZSfYUhZrTdBIRRbQYRwzbdobMlHvSZWW","sTvoSZe+OrjUKXbKWsTcUUsOZjWcTpwWTdFagTI","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688614"
"XjJRYkWQnSV/IQLKcrhobRlWv/RtHUTeNmZ+TaT","vZPVZX/LjBQeeGfNeEoj+GjQzYXwwRZYWvrUvI/","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688632"
"ugPCHWacavH/VUKS+kLmVdHLVlcHHroXrHRSZTL","HsHdJV+VRyWKutKwLKFcNnYiV/qVwNwcaaZtuBd","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688678"
"QWouYWV+WMeBUvDWtXeVrKuxDknDZjoXkSUGPVE","bMucEU/afXaZxNRCVXPyJLuLFwZTntAYQLVRxL/","01","Turnusablesung",2025-09-16T00:00:00,"J09C5485","00000000000011688680"
